  107 runs 482-485: A=482, S=2, W=1, F=485, T=3
  108 runs 483-495: A=483, S=6, W=6, F=495, T=12
  109 runs 484-489: A=484, S=4, W=1, F=489, T=5
  110 runs 501-674: A=501, S=6, W=167, F=674, T=173
  111 runs 509-521: A=509, S=5, W=7, F=521, T=12
  112 runs 510-516: A=510, S=4, W=2, F=516, T=6
  113 runs 516-706: A=516, S=11, W=179, F=706, T=190
  114 runs 520-522: A=520, S=1, W=1, F=522, T=2
  115 runs 521-531: A=521, S=9, W=1, F=531, T=10
  116 runs 522-542: A=522, S=11, W=9, F=542, T=20
  117 runs 534-553: A=534, S=10, W=9, F=553, T=19
  118 runs 536-594: A=536, S=13, W=45, F=594, T=58
  119 runs 540-543: A=540, S=1, W=2, F=543, T=3
  120 runs 547-555: A=547, S=2, W=6, F=555, T=8
  121 runs 549-559: A=549, S=4, W=6, F=559, T=10
  122 runs 559-562: A=559, S=3, W=0, F=562, T=3
  123 runs 561-567: A=561, S=5, W=1, F=567, T=6
  124 runs 564-570: A=564, S=3, W=3, F=570, T=6
  125 runs 569-575: A=569, S=5, W=1, F=575, T=6
  126 runs 574-580: A=574, S=5, W=1, F=580, T=6
  127 runs 579-581: A=579, S=1, W=1, F=581, T=2
  128 runs 585-648: A=585, S=6, W=57, F=648, T=63
  129 runs 589-654: A=589, S=6, W=59, F=654, T=65
  130 runs 590-596: A=590, S=2, W=4, F=596, T=6
  131 runs 594-604: A=594, S=8, W=2, F=604, T=10
  132 runs 602-612: A=602, S=8, W=2, F=612, T=10
  133 runs 606-613: A=606, S=1, W=6, F=613, T=7
  134 runs 610-618: A=610, S=5, W=3, F=618, T=8
  135 runs 617-624: A=617, S=6, W=1, F=624, T=7
  136 runs 618-642: A=618, S=8, W=16, F=642, T=24
  137 runs 624-626: A=624, S=2, W=0, F=626, T=2
  138 runs 626-630: A=626, S=4, W=0, F=630, T=4
  139 runs 628-634: A=628, S=3, W=3, F=634, T=6
  140 runs 629-631: A=629, S=1, W=1, F=631, T=2
  141 runs 645-665: A=645, S=10, W=10, F=665, T=20
  142 runs 652-655: A=652, S=1, W=2, F=655, T=3
  143 runs 664-667: A=664, S=2, W=1, F=667, T=3
  144 runs 667-668: A=667, S=1, W=0, F=668, T=1
  145 runs 669-683: A=669, S=5, W=9, F=683, T=14
  146 runs 671-677: A=671, S=3, W=3, F=677, T=6
  147 runs 674-688: A=674, S=5, W=9, F=688, T=14
  148 runs 677-678: A=677, S=1, W=0, F=678, T=1
  149 runs 686-693: A=686, S=5, W=2, F=693, T=7
  150 runs 690-694: A=690, S=1, W=3, F=694, T=4
  151 runs 694-695: A=694, S=1, W=0, F=695, T=1
  152 runs 698-738: A=698, S=16, W=24, F=738, T=40
  153 runs 701-713: A=701, S=4, W=8, F=713, T=12
  154 runs 703-708: A=703, S=2, W=3, F=708, T=5
  155 runs 707-709: A=707, S=1, W=1, F=709, T=2
  156 runs 711-717: A=711, S=3, W=3, F=717, T=6
  157 runs 712-714: A=712, S=1, W=1, F=714, T=2
  158 runs 714-722: A=714, S=5, W=3, F=722, T=8
  159 runs 723-49494: A=723, S=3, W=48768, F=49494, T=48771
  160 runs 726-49497: A=726, S=3, W=48768, F=49497, T=48771
  161 runs 729-49489: A=729, S=1, W=48759, F=49489, T=48760
  162 runs 732-49491: A=732, S=2, W=48757, F=49491, T=48759
  163 runs 735-756: A=735, S=8, W=13, F=756, T=21
  164 runs 736-743: A=736, S=5, W=2, F=743, T=7
  165 runs 739-748: A=739, S=5, W=4, F=748, T=9
  166 runs 748-791: A=748, S=14, W=29, F=791, T=43
  167 runs 751-758: A=751, S=2, W=5, F=758, T=7
  168 runs 752-763: A=752, S=5, W=6, F=763, T=11
  169 runs 760-768: A=760, S=1, W=7, F=768, T=8
  170 runs 762-775: A=762, S=7, W=6, F=775, T=13
  171 runs 763-767: A=763, S=4, W=0, F=767, T=4
  172 runs 773-777: A=773, S=2, W=2, F=777, T=4
  173 runs 781-49485: A=781, S=3, W=48701, F=49485, T=48704
  174 runs 782-49482: A=782, S=1, W=48699, F=49482, T=48700
  175 runs 784-49488: A=784, S=3, W=48701, F=49488, T=48704
  176 runs 787-805: A=787, S=14, W=4, F=805, T=18
  177 runs 794-49476: A=794, S=3, W=48679, F=49476, T=48682
  178 runs 795-49481: A=795, S=5, W=48681, F=49481, T=48686
  179 runs 797-821: A=797, S=15, W=9, F=821, T=24
  180 runs 804-806: A=804, S=1, W=1, F=806, T=2
  181 runs 811-49452: A=811, S=9, W=48632, F=49452, T=48641
  182 runs 815-49443: A=815, S=6, W=48622, F=49443, T=48628
  183 runs 819-822: A=819, S=1, W=2, F=822, T=3
  184 runs 820-826: A=820, S=4, W=2, F=826, T=6
  185 runs 822-49473: A=822, S=21, W=48630, F=49473, T=48651
  186 runs 825-832: A=825, S=6, W=1, F=832, T=7
  187 runs 827-838: A=827, S=5, W=6, F=838, T=11
  188 runs 830-833: A=830, S=1, W=2, F=833, T=3
  189 runs 834-857: A=834, S=19, W=4, F=857, T=23
  190 runs 839-919: A=839, S=3, W=77, F=919, T=80
  191 runs 841-923: A=841, S=4, W=78, F=923, T=82
  192 runs 847-871: A=847, S=5, W=19, F=871, T=24
  193 runs 849-861: A=849, S=3, W=9, F=861, T=12
  194 runs 856-858: A=856, S=1, W=1, F=858, T=2
  195 runs 858-866: A=858, S=3, W=5, F=866, T=8
  196 runs 859-862: A=859, S=1, W=2, F=862, T=3
  197 runs 861-863: A=861, S=1, W=1, F=863, T=2
  198 runs 866-876: A=866, S=5, W=5, F=876, T=10
  199 runs 869-913: A=869, S=14, W=30, F=913, T=44
  200 runs 873-880: A=873, S=4, W=3, F=880, T=7
  201 runs 875-885: A=875, S=5, W=5, F=885, T=10
  202 runs 881-896: A=881, S=7, W=8, F=896, T=15
  203 runs 884-889: A=884, S=4, W=1, F=889, T=5
  204 runs 892-899: A=892, S=2, W=5, F=899, T=7
  205 runs 896-897: A=896, S=1, W=0, F=897, T=1
  206 runs 913-914: A=913, S=1, W=0, F=914, T=1
  207 runs 914-915: A=914, S=1, W=0, F=915, T=1
  208 runs 915-916: A=915, S=1, W=0, F=916, T=1
  209 runs 918-932: A=918, S=9, W=5, F=932, T=14
  210 runs 930-935: A=930, S=3, W=2, F=935, T=5
  211 runs 934-937: A=934, S=2, W=1, F=937, T=3
  212 runs 935-939: A=935, S=2, W=2, F=939, T=4
  213 runs 937-948: A=937, S=5, W=6, F=948, T=11
  214 runs 939-943: A=939, S=4, W=0, F=943, T=4
  215 runs 948-953: A=948, S=5, W=0, F=953, T=5
  216 runs 950-955: A=950, S=2, W=3, F=955, T=5
  217 runs 952-961: A=952, S=6, W=3, F=961, T=9
  218 runs 954-972: A=954, S=9, W=9, F=972, T=18
  219 runs 960-963: A=960, S=2, W=1, F=963, T=3
  220 runs 967-983: A=967, S=6, W=10, F=983, T=16
  221 runs 972-977: A=972, S=5, W=0, F=977, T=5
  222 runs 981-987: A=981, S=4, W=2, F=987, T=6
  223 runs 982-992: A=982, S=4, W=6, F=992, T=10
  224 runs 987-988: A=987, S=1, W=0, F=988, T=1
  225 runs 991-1008: A=991, S=12, W=5, F=1008, T=17
  226 runs 992-994: A=992, S=2, W=0, F=994, T=2
  227 runs 994-996: A=994, S=2, W=0, F=996, T=2
  228 runs 999-1011: A=999, S=2, W=10, F=1011, T=12
  229 runs 1002-1013: A=1002, S=2, W=9, F=1013, T=11
  230 runs 1005-1009: A=1005, S=1, W=3, F=1009, T=4
  231 runs 1012-1017: A=1012, S=4, W=1, F=1017, T=5
  232 runs 1013-49424: A=1013, S=11, W=48400, F=49424, T=48411
  233 runs 1014-49437: A=1014, S=13, W=48410, F=49437, T=48423
  234 runs 1017-1024: A=1017, S=7, W=0, F=1024, T=7
  235 runs 1023-1025: A=1023, S=1, W=1, F=1025, T=2
  236 runs 1025-1042: A=1025, S=17, W=0, F=1042, T=17
  237 runs 1029-49413: A=1029, S=10, W=48374, F=49413, T=48384
  238 runs 1033-49401: A=1033, S=1, W=48367, F=49401, T=48368
  239 runs 1034-49403: A=1034, S=2, W=48367, F=49403, T=48369
  240 runs 1036-1046: A=1036, S=4, W=6, F=1046, T=10
  241 runs 1045-1061: A=1045, S=15, W=1, F=1061, T=16
  242 runs 1048-49397: A=1048, S=2, W=48347, F=49397, T=48349
  243 runs 1052-49400: A=1052, S=3, W=48345, F=49400, T=48348
  244 runs 1054-49394: A=1054, S=1, W=48339, F=49394, T=48340
  245 runs 1055-49395: A=1055, S=1, W=48339, F=49395, T=48340
  246 runs 1058-1066: A=1058, S=5, W=3, F=1066, T=8
  247 runs 1063-1073: A=1063, S=7, W=3, F=1073, T=10
  248 runs 1070-1075: A=1070, S=2, W=3, F=1075, T=5
  249 runs 1074-1079: A=1074, S=4, W=1, F=1079, T=5
  250 runs 1076-1084: A=1076, S=5, W=3, F=1084, T=8
  251 runs 1083-1092: A=1083, S=5, W=4, F=1092, T=9
  252 runs 1084-1087: A=1084, S=3, W=0, F=1087, T=3
  253 runs 1090-1094: A=1090, S=2, W=2, F=1094, T=4
  254 runs 1092-1097: A=1092, S=2, W=3, F=1097, T=5
  255 runs 1094-1095: A=1094, S=1, W=0, F=1095, T=1
  256 runs 1097-1101: A=1097, S=4, W=0, F=1101, T=4
  257 runs 1100-1104: A=1100, S=3, W=1, F=1104, T=4
  258 runs 1101-49393: A=1101, S=3, W=48289, F=49393, T=48292
  259 runs 1102-49388: A=1102, S=2, W=48284, F=49388, T=48286
  260 runs 1103-49390: A=1103, S=2, W=48285, F=49390, T=48287
  261 runs 1104-1119: A=1104, S=15, W=0, F=1119, T=15
  262 runs 1105-1129: A=1105, S=6, W=18, F=1129, T=24
  263 runs 1113-1123: A=1113, S=2, W=8, F=1123, T=10
  264 runs 1116-1140: A=1116, S=11, W=13, F=1140, T=24
  265 runs 1119-1121: A=1119, S=2, W=0, F=1121, T=2
  266 runs 1130-1144: A=1130, S=3, W=11, F=1144, T=14
  267 runs 1133-1141: A=1133, S=1, W=7, F=1141, T=8
  268 runs 1134-1151: A=1134, S=6, W=11, F=1151, T=17
  269 runs 1143-1145: A=1143, S=1, W=1, F=1145, T=2
  270 runs 1148-1156: A=1148, S=5, W=3, F=1156, T=8
  271 runs 1154-1165: A=1154, S=5, W=6, F=1165, T=11
  272 runs 1155-1160: A=1155, S=4, W=1, F=1160, T=5
  273 runs 1157-1212: A=1157, S=6, W=49, F=1212, T=55
  274 runs 1161-1230: A=1161, S=18, W=51, F=1230, T=69
  275 runs 1164-1184: A=1164, S=17, W=3, F=1184, T=20
  276 runs 1165-1167: A=1165, S=2, W=0, F=1167, T=2
  277 runs 1169-1201: A=1169, S=1, W=31, F=1201, T=32
  278 runs 1171-1206: A=1171, S=5, W=30, F=1206, T=35
  279 runs 1179-1185: A=1179, S=1, W=5, F=1185, T=6
  280 runs 1183-1193: A=1183, S=8, W=2, F=1193, T=10
  281 runs 1186-1196: A=1186, S=2, W=8, F=1196, T=10
  282 runs 1189-1199: A=1189, S=3, W=7, F=1199, T=10
  283 runs 1192-1194: A=1192, S=1, W=1, F=1194, T=2
  284 runs 1198-1200: A=1198, S=1, W=1, F=1200, T=2
  285 runs 1215-1238: A=1215, S=7, W=16, F=1238, T=23
  286 runs 1216-1231: A=1216, S=1, W=14, F=1231, T=15
  287 runs 1224-49377: A=1224, S=7, W=48146, F=49377, T=48153
  288 runs 1234-1243: A=1234, S=5, W=4, F=1243, T=9
  289 runs 1236-49386: A=1236, S=9, W=48141, F=49386, T=48150
  290 runs 1239-1260: A=1239, S=7, W=14, F=1260, T=21
  291 runs 1241-1244: A=1241, S=1, W=2, F=1244, T=3
  292 runs 1242-1248: A=1242, S=4, W=2, F=1248, T=6
  293 runs 1246-1253: A=1246, S=5, W=2, F=1253, T=7
  294 runs 1251-49370: A=1251, S=7, W=48112, F=49370, T=48119
  295 runs 1254-49360: A=1254, S=1, W=48105, F=49360, T=48106
  296 runs 1259-49363: A=1259, S=3, W=48101, F=49363, T=48104
  297 runs 1260-1266: A=1260, S=6, W=0, F=1266, T=6
  298 runs 1262-49337: A=1262, S=17, W=48058, F=49337, T=48075
  299 runs 1263-1276: A=1263, S=10, W=3, F=1276, T=13
  300 runs 1267-1283: A=1267, S=4, W=12, F=1283, T=16
  301 runs 1268-1279: A=1268, S=1, W=10, F=1279, T=11
  302 runs 1273-49359: A=1273, S=22, W=48064, F=49359, T=48086
  303 runs 1276-1278: A=1276, S=2, W=0, F=1278, T=2
  304 runs 1283-1289: A=1283, S=6, W=0, F=1289, T=6
  305 runs 1285-1294: A=1285, S=5, W=4, F=1294, T=9
  306 runs 1291-1316: A=1291, S=22, W=3, F=1316, T=25
  307 runs 1296-49311: A=1296, S=2, W=48013, F=49311, T=48015
  308 runs 1298-49320: A=1298, S=9, W=48013, F=49320, T=48022
  309 runs 1313-1412: A=1313, S=22, W=77, F=1412, T=99
  310 runs 1314-1320: A=1314, S=3, W=3, F=1320, T=6
  311 runs 1316-1317: A=1316, S=1, W=0, F=1317, T=1
  312 runs 1317-1324: A=1317, S=4, W=3, F=1324, T=7
  313 runs 1322-1332: A=1322, S=7, W=3, F=1332, T=10
  314 runs 1324-1325: A=1324, S=1, W=0, F=1325, T=1
  315 runs 1328-1340: A=1328, S=8, W=4, F=1340, T=12
  316 runs 1333-1347: A=1333, S=3, W=11, F=1347, T=14
  317 runs 1337-1361: A=1337, S=14, W=10, F=1361, T=24
  318 runs 1338-1343: A=1338, S=3, W=2, F=1343, T=5
  319 runs 1342-1344: A=1342, S=1, W=1, F=1344, T=2
  320 runs 1352-1385: A=1352, S=2, W=31, F=1385, T=33
  321 runs 1353-1379: A=1353, S=1, W=25, F=1379, T=26
  322 runs 1354-1387: A=1354, S=2, W=31, F=1387, T=33
  323 runs 1359-1362: A=1359, S=1, W=2, F=1362, T=3
  324 runs 1362-1374: A=1362, S=12, W=0, F=1374, T=12
  325 runs 1373-1378: A=1373, S=4, W=1, F=1378, T=5
  326 runs 1379-1383: A=1379, S=4, W=0, F=1383, T=4
  327 runs 1384-1390: A=1384, S=3, W=3, F=1390, T=6
  328 runs 1397-49304: A=1397, S=1, W=47906, F=49304, T=47907
  329 runs 1398-49309: A=1398, S=5, W=47906, F=49309, T=47911
  330 runs 1400-49284: A=1400, S=1, W=47883, F=49284, T=47884
  331 runs 1401-49303: A=1401, S=19, W=47883, F=49303, T=47902
  332 runs 1404-49281: A=1404, S=2, W=47875, F=49281, T=47877
  333 runs 1405-49283: A=1405, S=2, W=47876, F=49283, T=47878
  334 runs 1410-1429: A=1410, S=17, W=2, F=1429, T=19
  335 runs 1414-49279: A=1414, S=6, W=47859, F=49279, T=47865
  336 runs 1418-49268: A=1418, S=5, W=47845, F=49268, T=47850
  337 runs 1421-49273: A=1421, S=5, W=47847, F=49273, T=47852
  338 runs 1423-1435: A=1423, S=6, W=6, F=1435, T=12
  339 runs 1424-1441: A=1424, S=6, W=11, F=1441, T=17
  340 runs 1434-1498: A=1434, S=30, W=34, F=1498, T=64
  341 runs 1436-1452: A=1436, S=10, W=6, F=1452, T=16
  342 runs 1437-1442: A=1437, S=1, W=4, F=1442, T=5
  343 runs 1446-1467: A=1446, S=6, W=15, F=1467, T=21
  344 runs 1451-1455: A=1451, S=3, W=1, F=1455, T=4
  345 runs 1453-1460: A=1453, S=5, W=2, F=1460, T=7
  346 runs 1457-1461: A=1457, S=1, W=3, F=1461, T=4
  347 runs 1466-1468: A=1466, S=1, W=1, F=1468, T=2
  348 runs 1470-49258: A=1470, S=1, W=47787, F=49258, T=47788
  349 runs 1471-49263: A=1471, S=5, W=47787, F=49263, T=47792
  350 runs 1477-49255: A=1477, S=2, W=47776, F=49255, T=47778
  351 runs 1478-49257: A=1478, S=2, W=47777, F=49257, T=47779
  352 runs 1479-49253: A=1479, S=4, W=47770, F=49253, T=47774
  353 runs 1481-49248: A=1481, S=1, W=47766, F=49248, T=47767
  354 runs 1484-49249: A=1484, S=1, W=47764, F=49249, T=47765
  355 runs 1486-49230: A=1486, S=17, W=47727, F=49230, T=47744
  356 runs 1488-1514: A=1488, S=1, W=25, F=1514, T=26
  357 runs 1492-1517: A=1492, S=3, W=22, F=1517, T=25
  358 runs 1493-1503: A=1493, S=5, W=5, F=1503, T=10
  359 runs 1502-1508: A=1502, S=5, W=1, F=1508, T=6
  360 runs 1507-1509: A=1507, S=1, W=1, F=1509, T=2
  361 runs 1508-1512: A=1508, S=3, W=1, F=1512, T=4
  362 runs 1510-1513: A=1510, S=1, W=2, F=1513, T=3
  363 runs 1514-1526: A=1514, S=9, W=3, F=1526, T=12
  364 runs 1520-1529: A=1520, S=2, W=7, F=1529, T=9
  365 runs 1523-1527: A=1523, S=1, W=3, F=1527, T=4
  366 runs 1524-1532: A=1524, S=2, W=6, F=1532, T=8
  367 runs 1528-1530: A=1528, S=1, W=1, F=1530, T=2
  368 runs 1530-1538: A=1530, S=5, W=3, F=1538, T=8
  369 runs 1531-1533: A=1531, S=1, W=1, F=1533, T=2
